protocol,peak_N,peak_tput,fixed_N,fixed_cpu
raft,100,15594.2,150,41.8
jp-raft-fp0,100,15890.9,150,44.3
jp-raft-fp100,75,14981.2,150,49.2
jp-raft-adaptive,75,14983.5,100,44.5
copilot,25,4996.0,25,78.4
jp-copilot-fp0,25,4995.4,25,77.6
jp-copilot-fp100,25,5004.3,25,77.4
jp-copilot-adaptive,25,4991.8,25,89.3
mencius,0,0.0,0,0.0
jp-mencius-fp0,0,0.0,0,0.0
jp-mencius-fp100,10,0.1,10,91.5
jp-mencius-adaptive,10,30.3,10,86.7
etcd,75,9905.0,100,24.1
jp-etcd-fp0,100,10450.2,100,24.9
jp-etcd-fp100,50,9743.0,100,48.3
jp-etcd-adaptive,75,9181.8,100,49.4
mongodb,1,20.0,1,23.7
jp-mongodb-fp0,1,20.0,1,23.4
jp-mongodb-fp100,25,1144.2,25,33.4
jp-mongodb-adaptive,25,1672.1,25,33.3
epaxos,150,28479.8,200,26.3
swiftpaxos,100,16152.7,100,58.2
curp,75,13466.6,100,48.4
