protocol,latency_ms,cumulative_fraction
raft,71.335938,1.9645053179158956e-06
raft,141.27417,0.0010018977121371067
raft,231.387939,0.002001830918956298
raft,251.781982,0.0030017641257754886
raft,270.87207,0.0040016973325946795
raft,298.612061,0.00500163053941387
raft,364.447021,0.006001563746233061
raft,454.154053,0.007001496953052252
raft,525.053955,0.008001430159871443
raft,579.749023,0.009001363366690633
raft,638.348877,0.010001296573509824
raft,703.990967,0.011001229780329016
raft,790.954102,0.012001162987148206
raft,1182.485107,0.013001096193967398
raft,1212.255127,0.014001029400786588
raft,1244.756104,0.01500096260760578
raft,1291.890869,0.01600089581442497
raft,1303.228027,0.01700082902124416
raft,1304.550049,0.018000762228063353
raft,1305.743164,0.01900069543488254
raft,1306.573975,0.020000628641701733
raft,1307.750977,0.021000561848520925
raft,1308.324951,0.022000495055340116
raft,1308.946045,0.023000428262159305
raft,1309.446045,0.024000361468978496
raft,1309.963135,0.025000294675797688
raft,1310.381104,0.02600022788261688
raft,1310.793945,0.027000161089436068
raft,1311.216064,0.02800009429625526
raft,1311.535156,0.02900002750307445
raft,1311.924805,0.029999960709893643
raft,1312.358887,0.03099989391671283
raft,1312.702881,0.031999827123532026
raft,1313.126953,0.032999760330351215
raft,1313.459961,0.0339996935371704
raft,1313.756836,0.0349996267439896
raft,1314.148926,0.035999559950808786
raft,1314.47998,0.036999493157627975
raft,1314.723877,0.03799942636444717
raft,1315.0,0.03899935957126636
raft,1315.221924,0.03999929277808555
raft,1315.511963,0.04099922598490474
raft,1315.738037,0.04199915919172393
raft,1316.049072,0.042999092398543125
raft,1316.410156,0.04399902560536231
raft,1316.659912,0.0449989588121815
raft,1316.835938,0.045998892019000696
raft,1317.020996,0.046998825225819885
raft,1317.281006,0.04799875843263908
raft,1317.545898,0.04899869163945827
raft,1317.835938,0.049998624846277456
raft,1318.038086,0.05099855805309665
raft,1318.35791,0.05199849125991584
raft,1318.661865,0.052998424466735035
raft,1319.038818,0.05399835767355422
raft,1319.38501,0.05499829088037341
raft,1320.293945,0.055998224087192607
raft,1338.508057,0.056998157294011795
raft,1484.3479,0.05799809050083098
raft,1567.661865,0.05899802370765018
raft,1583.644043,0.059997956914469366
raft,1658.25,0.06099789012128856
raft,1677.251953,0.06199782332810775
raft,1699.653076,0.06299775653492694
raft,1711.100098,0.06399768974174613
raft,1712.800049,0.06499762294856533
raft,1713.472168,0.06599755615538451
raft,1714.555176,0.0669974893622037
raft,1715.032227,0.0679974225690229
raft,1715.438965,0.06899735577584208
raft,1715.98291,0.06999728898266128
raft,1716.430176,0.07099722218948047
raft,1716.727051,0.07199715539629965
raft,1717.376953,0.07299708860311885
raft,1718.186768,0.07399702180993804
raft,1720.905029,0.07499695501675722
raft,1736.533936,0.07599688822357642
raft,1749.577148,0.07699682143039561
raft,1763.583984,0.0779967546372148
raft,1780.914062,0.07899668784403399
raft,1801.791992,0.07999662105085319
raft,1811.699219,0.08099655425767238
raft,1831.672852,0.08199648746449156
raft,1840.035889,0.08299642067131076
raft,1851.975098,0.08399635387812995
raft,1856.858887,0.08499628708494913
raft,1858.169189,0.08599622029176833
raft,1858.686035,0.08699615349858753
raft,1859.408936,0.0879960867054067
raft,1860.195068,0.0889960199122259
raft,1860.643066,0.0899959531190451
raft,1860.959961,0.09099588632586428
raft,1861.2771,0.09199581953268347
raft,1861.463135,0.09299575273950267
raft,1861.631104,0.09399568594632186
raft,1861.772949,0.09499561915314104
raft,1861.880859,0.09599555235996024
raft,1862.001953,0.09699548556677944
raft,1862.159912,0.09799541877359862
raft,1862.291016,0.09899535198041781
raft,1862.412842,0.099995285187237
raft,1862.503906,0.10099521839405619
raft,1862.618164,0.10199515160087538
raft,1862.75,0.10299508480769458
raft,1862.863037,0.10399501801451376
raft,1862.969971,0.10499495122133295
raft,1863.050049,0.10599488442815215
raft,1863.137939,0.10699481763497133
raft,1863.228027,0.10799475084179053
raft,1863.322021,0.10899468404860972
raft,1863.408936,0.10999461725542892
raft,1863.488037,0.1109945504622481
raft,1863.552979,0.1119944836690673
raft,1863.638916,0.11299441687588649
raft,1863.723877,0.11399435008270567
raft,1863.831055,0.11499428328952487
raft,1863.938965,0.11599421649634406
raft,1864.018799,0.11699414970316324
raft,1864.10498,0.11799408290998244
raft,1864.196045,0.11899401611680163
raft,1864.293945,0.11999394932362081
raft,1864.384033,0.12099388253044001
raft,1864.477051,0.1219938157372592
raft,1864.565186,0.12299374894407838
raft,1864.680908,0.12399368215089758
raft,1864.792969,0.12499361535771678
raft,1864.931885,0.12599354856453596
raft,1865.078857,0.12699348177135517
raft,1865.177002,0.12799341497817435
raft,1865.292969,0.12899334818499353
raft,1865.394043,0.12999328139181274
raft,1865.511963,0.13099321459863192
raft,1865.694092,0.1319931478054511
raft,1865.858154,0.1329930810122703
raft,1866.125,0.1339930142190895
raft,1866.616943,0.13499294742590867
raft,1867.266846,0.13599288063272788
raft,1867.762939,0.13699281383954706
raft,1868.197998,0.13799274704636624
raft,1868.865967,0.13899268025318545
raft,1870.028076,0.13999261346000463
raft,1876.450195,0.14099254666682381
raft,1880.48999,0.14199247987364302
raft,1882.851074,0.1429924130804622
raft,1883.7229,0.1439923462872814
raft,1884.386963,0.1449922794941006
raft,1885.029053,0.14599221270091978
raft,1885.531006,0.14699214590773899
raft,1885.840088,0.14799207911455817
raft,1886.365967,0.14899201232137735
raft,1886.875977,0.14999194552819656
raft,1887.177002,0.15099187873501574
raft,1887.446045,0.15199181194183492
raft,1887.74585,0.15299174514865413
raft,1887.978027,0.1539916783554733
raft,1888.166992,0.1549916115622925
raft,1888.447998,0.1559915447691117
raft,1888.708008,0.15699147797593088
raft,1888.964844,0.15799141118275006
raft,1889.263916,0.15899134438956927
raft,1889.505127,0.15999127759638845
raft,1889.74707,0.16099121080320763
raft,1890.013916,0.16199114401002684
raft,1890.293213,0.16299107721684603
raft,1890.575928,0.1639910104236652
raft,1890.832031,0.16499094363048442
raft,1891.00293,0.1659908768373036
raft,1891.182861,0.16699081004412278
raft,1891.303955,0.167990743250942
raft,1891.456055,0.16899067645776117
raft,1891.624023,0.16999060966458035
raft,1891.756836,0.17099054287139956
raft,1891.874023,0.17199047607821874
raft,1891.995117,0.17299040928503792
raft,1892.084961,0.17399034249185713
raft,1892.194824,0.1749902756986763
raft,1892.374023,0.17599020890549552
raft,1892.514893,0.1769901421123147
raft,1892.593994,0.17799007531913388
raft,1892.699951,0.1789900085259531
raft,1892.853027,0.17998994173277227
raft,1892.967041,0.18098987493959146
raft,1893.091797,0.18198980814641066
raft,1893.250977,0.18298974135322985
raft,1893.390869,0.18398967456004903
