protocol,zipf,N,p99_latency_(ms)
raft,0.0,150,2405.81
raft,0.5,150,2248.36
raft,0.6,150,2667.73
raft,0.7,150,2414.13
raft,0.8,150,2408.5
raft,0.9,150,2366.42
raft,1.0,150,2334.24
jp-raft-fp0,0.0,150,2551.5
jp-raft-fp0,0.5,150,2314.93
jp-raft-fp0,0.6,150,2323.53
jp-raft-fp0,0.7,150,2836.63
jp-raft-fp0,0.8,150,2228.83
jp-raft-fp0,0.9,150,2752.59
jp-raft-fp0,1.0,150,2539.49
jp-raft-fp100,0.0,150,0.0
jp-raft-fp100,0.5,150,0.0
jp-raft-fp100,0.6,150,0.0
jp-raft-fp100,0.7,150,0.0
jp-raft-fp100,0.8,150,56242.48
jp-raft-fp100,0.9,150,56237.99
jp-raft-fp100,1.0,150,0.0
jp-raft-adaptive,0.0,100,3415.55
jp-raft-adaptive,0.5,100,7427.13
jp-raft-adaptive,0.6,100,4297.9
jp-raft-adaptive,0.7,100,13400.72
jp-raft-adaptive,0.8,100,3726.0
jp-raft-adaptive,0.9,100,7256.8
jp-raft-adaptive,1.0,100,2005.23
copilot,0.0,25,104.92
copilot,0.5,25,105.29
copilot,0.6,25,0.0
copilot,0.7,25,107.45
copilot,0.8,25,0.0
copilot,0.9,25,112.17
copilot,1.0,25,0.0
jp-copilot-fp0,0.0,25,0.0
jp-copilot-fp0,0.5,25,123.35
jp-copilot-fp0,0.6,25,419.7
jp-copilot-fp0,0.7,25,116.05
jp-copilot-fp0,0.8,25,118.73
jp-copilot-fp0,0.9,25,116.08
jp-copilot-fp0,1.0,25,0.0
jp-copilot-fp100,0.0,25,114.77
jp-copilot-fp100,0.5,25,0.0
jp-copilot-fp100,0.6,25,91.82
jp-copilot-fp100,0.7,25,0.0
jp-copilot-fp100,0.8,25,0.0
jp-copilot-fp100,0.9,25,98.01
jp-copilot-fp100,1.0,25,0.0
jp-copilot-adaptive,0.0,25,0.0
jp-copilot-adaptive,0.5,25,388.04
jp-copilot-adaptive,0.6,25,114.61
jp-copilot-adaptive,0.7,25,109.73
jp-copilot-adaptive,0.8,25,7500.91
jp-copilot-adaptive,0.9,25,0.0
jp-copilot-adaptive,1.0,25,5682.48
mencius,0.0,0,-1.0
mencius,0.5,0,-1.0
mencius,0.6,0,-1.0
mencius,0.7,0,-1.0
mencius,0.8,0,-1.0
mencius,0.9,0,-1.0
mencius,1.0,0,-1.0
jp-mencius-fp0,0.0,0,-1.0
jp-mencius-fp0,0.5,0,-1.0
jp-mencius-fp0,0.6,0,-1.0
jp-mencius-fp0,0.7,0,-1.0
jp-mencius-fp0,0.8,0,-1.0
jp-mencius-fp0,0.9,0,-1.0
jp-mencius-fp0,1.0,0,-1.0
jp-mencius-fp100,0.0,10,-1.0
jp-mencius-fp100,0.5,10,0.0
jp-mencius-fp100,0.6,10,0.0
jp-mencius-fp100,0.7,10,-1.0
jp-mencius-fp100,0.8,10,-1.0
jp-mencius-fp100,0.9,10,-1.0
jp-mencius-fp100,1.0,10,0.0
jp-mencius-adaptive,0.0,10,0.0
jp-mencius-adaptive,0.5,10,0.0
jp-mencius-adaptive,0.6,10,0.0
jp-mencius-adaptive,0.7,10,12400.95
jp-mencius-adaptive,0.8,10,0.0
