protocol,zipf,N,efficient_fast-path_success_rate_(%)
raft,0.0,150,0.0
raft,0.5,150,0.0
raft,0.6,150,0.0
raft,0.7,150,0.0
raft,0.8,150,0.0
raft,0.9,150,0.0
raft,1.0,150,0.0
jp-raft-fp0,0.0,150,0.0
jp-raft-fp0,0.5,150,0.0
jp-raft-fp0,0.6,150,0.0
jp-raft-fp0,0.7,150,0.0
jp-raft-fp0,0.8,150,0.0
jp-raft-fp0,0.9,150,0.0
jp-raft-fp0,1.0,150,0.0
jp-raft-fp100,0.0,150,0.0
jp-raft-fp100,0.5,150,79.1221
jp-raft-fp100,0.6,150,0.0
jp-raft-fp100,0.7,150,0.0
jp-raft-fp100,0.8,150,78.9533
jp-raft-fp100,0.9,150,79.4536
jp-raft-fp100,1.0,150,0.0
jp-raft-adaptive,0.0,100,90.9091
jp-raft-adaptive,0.5,100,89.8096
jp-raft-adaptive,0.6,100,91.5441
jp-raft-adaptive,0.7,100,0.0
jp-raft-adaptive,0.8,100,0.0
jp-raft-adaptive,0.9,100,89.5075
jp-raft-adaptive,1.0,100,0.0
copilot,0.0,25,0.0
copilot,0.5,25,0.0
copilot,0.6,25,0.0
copilot,0.7,25,0.0
copilot,0.8,25,0.0
copilot,0.9,25,0.0
copilot,1.0,25,0.0
jp-copilot-fp0,0.0,25,0.0
jp-copilot-fp0,0.5,25,0.0
jp-copilot-fp0,0.6,25,0.0
jp-copilot-fp0,0.7,25,0.0
jp-copilot-fp0,0.8,25,0.0
jp-copilot-fp0,0.9,25,0.0
jp-copilot-fp0,1.0,25,0.0
jp-copilot-fp100,0.0,25,0.0
jp-copilot-fp100,0.5,25,0.0
jp-copilot-fp100,0.6,25,0.0
jp-copilot-fp100,0.7,25,0.0
jp-copilot-fp100,0.8,25,0.0
jp-copilot-fp100,0.9,25,0.0
jp-copilot-fp100,1.0,25,0.0
jp-copilot-adaptive,0.0,25,0.0
jp-copilot-adaptive,0.5,25,0.0
jp-copilot-adaptive,0.6,25,0.0
jp-copilot-adaptive,0.7,25,0.0
jp-copilot-adaptive,0.8,25,0.0
jp-copilot-adaptive,0.9,25,0.0
jp-copilot-adaptive,1.0,25,0.0
mencius,0.0,0,0.0
mencius,0.5,0,0.0
mencius,0.6,0,0.0
mencius,0.7,0,0.0
mencius,0.8,0,0.0
mencius,0.9,0,0.0
mencius,1.0,0,0.0
jp-mencius-fp0,0.0,0,0.0
jp-mencius-fp0,0.5,0,0.0
jp-mencius-fp0,0.6,0,0.0
jp-mencius-fp0,0.7,0,0.0
jp-mencius-fp0,0.8,0,0.0
jp-mencius-fp0,0.9,0,0.0
jp-mencius-fp0,1.0,0,0.0
jp-mencius-fp100,0.0,10,0.0
jp-mencius-fp100,0.5,10,0.0
jp-mencius-fp100,0.6,10,0.0
jp-mencius-fp100,0.7,10,0.0
