protocol,zipf,N,efficient_fast-path_success_rate_(%)
jp-mencius-fp100,0.8,10,0.0
jp-mencius-fp100,0.9,10,0.0
jp-mencius-fp100,1.0,10,39.3939
jp-mencius-adaptive,0.0,10,100.0
jp-mencius-adaptive,0.5,10,0.0
jp-mencius-adaptive,0.6,10,0.0
jp-mencius-adaptive,0.7,10,0.0
jp-mencius-adaptive,0.8,10,0.0
jp-mencius-adaptive,0.9,10,0.0
jp-mencius-adaptive,1.0,10,50.0
etcd,0.0,100,0.0
etcd,0.5,100,0.0
etcd,0.6,100,0.0
etcd,0.7,100,0.0
etcd,0.8,100,0.0
etcd,0.9,100,0.0
etcd,1.0,100,0.0
jp-etcd-fp0,0.0,100,0.0
jp-etcd-fp0,0.5,100,0.0
jp-etcd-fp0,0.6,100,0.0
jp-etcd-fp0,0.7,100,0.0
jp-etcd-fp0,0.8,100,0.0
jp-etcd-fp0,0.9,100,0.0
jp-etcd-fp0,1.0,100,0.0
jp-etcd-fp100,0.0,100,81.76
jp-etcd-fp100,0.5,100,82.048
jp-etcd-fp100,0.6,100,82.5145
jp-etcd-fp100,0.7,100,82.498
jp-etcd-fp100,0.8,100,82.1777
jp-etcd-fp100,0.9,100,82.0711
jp-etcd-fp100,1.0,100,82.0207
jp-etcd-adaptive,0.0,100,82.0712
jp-etcd-adaptive,0.5,100,82.1479
jp-etcd-adaptive,0.6,100,82.1563
jp-etcd-adaptive,0.7,100,82.0662
jp-etcd-adaptive,0.8,100,82.195
jp-etcd-adaptive,0.9,100,82.1186
jp-etcd-adaptive,1.0,100,82.2012
mongodb,0.0,1,0.0
mongodb,0.5,1,0.0
mongodb,0.6,1,0.0
mongodb,0.7,1,0.0
mongodb,0.8,1,0.0
mongodb,0.9,1,0.0
mongodb,1.0,1,0.0
jp-mongodb-fp0,0.0,1,0.0
jp-mongodb-fp0,0.5,1,0.0
jp-mongodb-fp0,0.6,1,0.0
jp-mongodb-fp0,0.7,1,0.0
jp-mongodb-fp0,0.8,1,0.0
jp-mongodb-fp0,0.9,1,0.0
jp-mongodb-fp0,1.0,1,0.0
jp-mongodb-fp100,0.0,25,93.8844
jp-mongodb-fp100,0.5,25,94.0929
jp-mongodb-fp100,0.6,25,93.9977
jp-mongodb-fp100,0.7,25,94.1474
jp-mongodb-fp100,0.8,25,94.1789
jp-mongodb-fp100,0.9,25,94.4792
jp-mongodb-fp100,1.0,25,94.1358
jp-mongodb-adaptive,0.0,25,94.3562
jp-mongodb-adaptive,0.5,25,94.2097
jp-mongodb-adaptive,0.6,25,94.0676
jp-mongodb-adaptive,0.7,25,94.442
jp-mongodb-adaptive,0.8,25,94.028
jp-mongodb-adaptive,0.9,25,94.1434
jp-mongodb-adaptive,1.0,25,94.1901
epaxos,0.0,200,0.0
epaxos,0.5,200,0.0
epaxos,0.6,200,0.0
epaxos,0.7,200,0.0
epaxos,0.8,200,0.0
epaxos,0.9,200,0.0
epaxos,1.0,200,0.0
swiftpaxos,0.0,100,0.0
swiftpaxos,0.5,100,0.0
swiftpaxos,0.6,100,0.0
swiftpaxos,0.7,100,0.0
swiftpaxos,0.8,100,0.0
swiftpaxos,0.9,100,0.0
swiftpaxos,1.0,100,0.0
curp,0.0,100,84.3305
curp,0.5,100,84.2274
curp,0.6,100,84.1485
curp,0.7,100,83.7438
curp,0.8,100,83.8951
curp,0.9,100,83.7496
curp,1.0,100,83.8071
