protocol,N,total_tput,z2_p50_ms
raft,25,4786.2,36.21
raft,50,9969.5,42.18
raft,75,15001.8,56.21
raft,100,15594.2,1225.29
raft,150,13775.3,2252.12
jp-raft-fp0,25,5003.8,57.44
jp-raft-fp0,50,10001.3,64.05
jp-raft-fp0,75,14942.6,80.9
jp-raft-fp0,100,15890.9,1252.01
jp-raft-fp0,150,15035.3,1981.36
jp-raft-fp100,25,4976.9,41.13
jp-raft-fp100,50,9984.4,41.13
jp-raft-fp100,75,14981.2,41.17
jp-raft-fp100,100,4386.6,41.38
jp-raft-fp100,150,3033.3,41.49
jp-raft-adaptive,25,4798.1,41.14
jp-raft-adaptive,50,9995.1,41.22
jp-raft-adaptive,75,14983.5,71.94
jp-raft-adaptive,100,4195.9,1928.88
copilot,25,4996.0,102.97
jp-copilot-fp0,25,4995.4,103.46
jp-copilot-fp100,25,5004.3,82.18
jp-copilot-adaptive,25,4991.8,104.16
etcd,25,5003.7,82.51
etcd,50,8452.8,1009.06
etcd,75,9905.0,1464.21
etcd,100,9625.5,1879.59
jp-etcd-fp0,25,4993.7,82.56
jp-etcd-fp0,50,9770.5,543.09
jp-etcd-fp0,75,10417.3,1296.54
jp-etcd-fp0,100,10450.2,1783.94
jp-etcd-fp100,25,4985.4,41.13
jp-etcd-fp100,50,9743.0,41.24
jp-etcd-fp100,75,8778.8,41.32
jp-etcd-fp100,100,8392.8,41.38
jp-etcd-adaptive,25,5001.1,41.12
jp-etcd-adaptive,50,9108.3,41.28
jp-etcd-adaptive,75,9181.8,41.32
jp-etcd-adaptive,100,7568.1,41.38
jp-mongodb-adaptive,25,1672.1,42.26
epaxos,50,9987.6,41.51
epaxos,100,19981.4,42.01
epaxos,150,28479.8,510.18
epaxos,200,28421.4,1372.85
swiftpaxos,25,5008.5,41.79
swiftpaxos,50,9993.7,41.95
swiftpaxos,75,14957.7,42.49
swiftpaxos,100,16152.7,1185.23
curp,25,4968.6,41.13
curp,50,9975.2,41.17
curp,75,13466.6,41.8
curp,100,4543.7,41.49
