backend,mode,extra_args,concurrency,run_id,status,total_throughput,h1,h2,h3,h4,h5,cpu_all_avg,cpu_leader_avg,leader_queue_depth_avg,fastpath_attempt_rate,fastpath_success_rate,original_path_rate,error_count,error_summary,log_path
etcd,adaptive,,1,23,OK,39.70,8.00,7.80,8.00,8.00,7.90,NA,4.0600,2.5819,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc1_attempt0.log
etcd,adaptive,,5,24,OK,271.60,53.10,54.50,54.30,55.10,54.60,NA,6.7600,6.8215,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc5_attempt0.log
etcd,adaptive,,10,25,OK,574.40,115.50,115.30,114.90,115.40,113.30,NA,6.8100,14.4945,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc10_attempt0.log
etcd,adaptive,,25,26,OK,1465.50,296.70,291.80,292.80,293.00,291.20,NA,9.7900,41.4565,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc25_attempt0.log
etcd,adaptive,,50,27,OK,2964.20,593.00,591.40,594.10,597.50,588.20,NA,5.8700,210.0035,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc50_attempt0.log
etcd,adaptive,,75,28,OK,4462.90,892.90,892.80,891.60,893.00,892.60,NA,8.7000,286.7394,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc75_attempt0.log
etcd,adaptive,,100,29,OK,5925.00,1182.10,1189.20,1190.30,1183.90,1179.50,NA,7.0100,378.1478,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc100_attempt0.log
etcd,adaptive,,150,30,OK,6955.60,1418.70,1342.10,1371.50,1439.70,1383.60,NA,9.7000,492.4247,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc150_attempt0.log
etcd,adaptive,,200,31,OK,7323.30,1461.60,1443.30,1460.30,1474.40,1483.70,NA,11.7400,315.2866,88.52,88.52,11.48,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc200_attempt0.log
etcd,adaptive,,300,32,OK,6789.50,1421.80,1340.00,1341.70,1335.30,1350.70,NA,10.7000,721.8157,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc300_attempt0.log
etcd,adaptive,,400,33,OK,6051.40,1241.10,1232.90,1206.90,1180.00,1190.50,NA,9.4700,456.7845,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_rule_etcd/conc400_attempt0.log
mongodb,original,,1,34,OK,40.90,8.40,7.60,8.50,8.20,8.20,NA,7.0400,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc1_attempt0.log
mongodb,original,,5,35,OK,275.40,54.80,55.20,55.30,55.00,55.10,NA,7.1100,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc5_attempt0.log
mongodb,original,,10,36,OK,569.10,115.70,112.50,115.70,112.90,112.30,NA,6.9400,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc10_attempt1.log
mongodb,original,,25,37,OK,1457.40,291.00,291.50,291.90,291.10,291.90,NA,8.1000,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc25_attempt0.log
mongodb,original,,50,38,OK,2969.90,594.40,595.70,594.80,590.30,594.70,NA,8.4900,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc50_attempt0.log
mongodb,original,,75,39,OK,3728.40,712.60,755.70,764.40,766.10,729.60,NA,11.8900,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc75_attempt1.log
mongodb,original,,100,40,OK,3799.30,826.20,715.90,814.50,665.10,777.60,NA,11.4700,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc100_attempt0.log
mongodb,original,,150,41,OK,3766.80,758.80,736.40,785.20,758.90,727.50,NA,10.5900,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc150_attempt0.log
mongodb,original,,200,42,OK,3641.80,699.90,742.10,700.00,759.80,740.00,NA,12.0500,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc200_attempt1.log
mongodb,original,,300,43,OK,3460.00,720.00,680.00,700.00,680.00,680.00,NA,12.1400,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc300_attempt0.log
mongodb,original,,400,44,OK,3148.70,620.00,608.60,639.70,640.00,640.40,NA,11.1200,.2000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_none_mongodb/conc400_attempt2.log
mongodb,fastpath-100,-m 100,1,45,OK,40.10,7.90,7.90,8.10,8.40,7.80,NA,6.2100,1.0000,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc1_attempt0.log
mongodb,fastpath-100,-m 100,5,46,OK,274.00,55.10,55.10,54.30,54.30,55.20,NA,6.5600,1.0000,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc5_attempt1.log
mongodb,fastpath-100,-m 100,10,47,OK,572.70,116.60,113.60,114.60,113.30,114.60,NA,6.8600,1.0000,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc10_attempt0.log
mongodb,fastpath-100,-m 100,25,48,OK,1473.80,293.60,292.60,295.10,295.50,297.00,NA,7.7200,1.0000,97.25,97.25,2.75,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc25_attempt0.log
mongodb,fastpath-100,-m 100,50,49,OK,2104.20,440.30,393.30,419.00,405.80,445.80,NA,12.6700,1.0000,10.99,10.99,89.01,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc50_attempt0.log
mongodb,fastpath-100,-m 100,75,50,OK,2715.30,604.30,546.70,525.10,484.80,554.40,NA,11.7100,1.0000,.01,.01,99.99,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc75_attempt0.log
mongodb,fastpath-100,-m 100,100,51,OK,2947.60,597.80,563.40,562.30,618.70,605.40,NA,11.1700,1.0000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc100_attempt0.log
mongodb,fastpath-100,-m 100,150,52,OK,2506.70,540.00,477.60,500.70,512.50,475.90,NA,11.0100,1.0000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc150_attempt0.log
mongodb,fastpath-100,-m 100,200,53,OK,3199.60,600.00,599.90,680.00,679.70,640.00,NA,9.6700,1.0000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc200_attempt0.log
mongodb,fastpath-100,-m 100,300,54,OK,2880.00,640.00,560.00,540.00,560.00,580.00,NA,11.2600,1.0000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc300_attempt0.log
mongodb,fastpath-100,-m 100,400,55,OK,2920.00,540.00,600.00,580.00,600.00,600.00,NA,10.9500,1.0000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc400_attempt1.log
