# Sweep: image=jetpack-etcd mode=rule_etcd.yml extra_args=''
# Site config: 60c1s5r5p.yml (60 clients)
# Latency: 20ms, Duration: 30s
concurrency	total_throughput	h1	h2	h3	h4	h5	fp_attempted	fp_succeeded	fp_rate	cpu_leader_avg	queue_depth_avg
1	40.00	7.70	8.20	7.60	8.10	8.40	400	400	100.00	69.9595	2.6216
5	270.50	55.10	53.40	54.00	53.60	54.40	2197	2197	100.00	65.1822	6.8330
10	570.50	115.00	113.80	114.40	113.40	113.90	5705	5705	100.00	97.8150	26.0520
25	1292.50	258.20	261.10	255.40	264.00	253.80	2384	1899	79.65	92.7784	470.7294
50	2961.40	591.50	591.20	592.80	591.60	594.30	29614	28504	96.25	90.3322	337.7810
75	83.10	27.50	0.00	20.00	26.50	9.10	522	31	5.93	76.4964	374.4343
100	5903.80	1195.10	1172.10	1174.60	1186.20	1175.80	4957	2874	57.97	64.4730	651.2165
150	5871.90	1178.00	1120.50	1196.80	1176.20	1200.40	6277	3395	54.08	60.6308	322.5837
200	6277.00	1298.90	1238.00	1242.60	1223.80	1273.70	6371	2850	44.73	63.8733	329.9034
300	0	0.00	0.00	0.00	0.00	0.00	0	0	0	84.1058	364.8391
400	5180.60	1031.70	1038.40	1042.50	1020.00	1048.00	5504	2320	42.15	61.9346	451.2163
