# Sweep: image=jetpack-etcd-phase1e-leaf2-adaptive mode=rule_etcd.yml extra_args=''
# Site config: 60c1s5r5p.yml (60 clients)
# Latency: 20ms, Duration: 30s
# Date: 2026-03-10T21:18:53Z
# Max retries per point: 2
concurrency	total_throughput	h1	h2	h3	h4	h5	fp_attempted	fp_succeeded	fp_rate	cpu_leader_avg	queue_depth_avg	status	error_summary	log_path	retry_count
1	40.20	8.00	7.70	8.10	8.10	8.30	388	388	100.00	5.9700	1.8486	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc1_attempt0.log	0
5	275.10	55.90	54.30	54.80	54.60	55.50	2232	2232	100.00	6.5600	7.4314	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc5_attempt0.log	0
10	571.50	113.30	115.00	113.00	114.70	115.50	5715	5715	100.00	6.8800	26.4732	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc10_attempt0.log	0
25	1477.00	294.30	295.60	293.10	294.70	299.30	11998	11998	100.00	6.4900	44.7325	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc25_attempt0.log	0
50	2967.30	589.40	596.80	592.50	592.50	596.10	216	216	100.00	7.6500	220.6455	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc50_attempt0.log	0
75	4461.50	894.00	885.40	893.40	894.10	894.60	0	0	0	8.2800	264.1104	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc75_attempt0.log	0
100	5965.20	1193.20	1194.30	1192.80	1193.70	1191.20	0	0	0	8.0400	402.7142	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc100_attempt0.log	0
150	7084.40	1423.00	1362.20	1437.00	1455.40	1406.80	0	0	0	8.3200	538.0829	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc150_attempt0.log	0
200	7368.70	1512.50	1429.70	1487.60	1436.40	1502.50	22	20	90.90	9.3200	362.4490	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc200_attempt0.log	0
300	6620.20	1435.50	1302.60	1301.20	1311.40	1269.50	0	0	0	10.3300	618.6996	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc300_attempt0.log	0
400	6389.90	1327.90	1251.00	1235.00	1289.70	1286.30	33	31	93.93	10.4500	356.0202	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-etcd-phase1e-leaf2-adaptive_rule_etcd/conc400_attempt0.log	0
