backend,mode,concurrency,total_throughput,h1,h2,h3,h4,h5
ZooKeeper,Original,400,5393.80,1102.20,1080.40,1061.00,1061.10,1089.10
ZooKeeper,Fast path 100%,1,39.60,7.70,8.30,7.60,7.60,8.40
ZooKeeper,Fast path 100%,5,273.10,52.60,55.40,55.60,55.20,54.30
ZooKeeper,Fast path 100%,10,570.00,114.20,114.50,113.40,114.70,113.20
ZooKeeper,Fast path 100%,25,1472.30,293.80,294.20,295.80,293.80,294.70
ZooKeeper,Fast path 100%,50,2956.90,590.90,591.20,587.90,593.00,593.90
ZooKeeper,Fast path 100%,75,4459.00,891.20,891.60,890.30,895.70,890.20
ZooKeeper,Fast path 100%,100,5442.10,1106.30,1085.30,1085.30,1081.70,1083.50
ZooKeeper,Fast path 100%,150,5480.40,1102.20,1093.10,1085.50,1091.00,1108.60
ZooKeeper,Fast path 100%,200,5681.10,1110.30,1132.10,1133.70,1169.40,1135.60
ZooKeeper,Fast path 100%,300,5481.70,1102.80,1098.40,1080.50,1101.70,1098.30
ZooKeeper,Fast path 100%,400,5307.30,1078.70,1063.30,1050.00,1057.70,1057.60
ZooKeeper,Adaptive,1,39.70,8.10,7.80,7.90,8.10,7.80
ZooKeeper,Adaptive,5,268.00,54.20,53.70,53.30,53.00,53.80
ZooKeeper,Adaptive,10,571.50,113.90,114.20,114.40,113.20,115.80
ZooKeeper,Adaptive,25,1471.10,294.50,293.80,297.50,295.30,290.00
ZooKeeper,Adaptive,50,2964.30,593.10,592.30,594.20,593.60,591.10
ZooKeeper,Adaptive,75,4476.10,890.30,894.20,895.20,900.50,895.90
ZooKeeper,Adaptive,100,4412.30,938.50,852.60,958.50,830.60,832.10
ZooKeeper,Adaptive,150,5544.90,1113.30,1101.20,1097.00,1115.20,1118.20
ZooKeeper,Adaptive,200,5568.30,1144.80,1111.40,1092.20,1110.20,1109.70
ZooKeeper,Adaptive,300,5294.50,1082.80,1044.70,1057.90,1055.60,1053.50
ZooKeeper,Adaptive,400,5370.00,1079.70,1110.90,1056.60,1061.40,1061.40
